comparison;codec;preset;sequence;crf;real bitrate;subjective
2019;x264;mv_subjective;crowd_run_short;4000;4989;5.738296268691136
2019;x265;mv_subjective;crowd_run_short;1000;1060;0.6465866944852787
2019;x265;mv_subjective;crowd_run_short;2000;2458;3.547634514737201
2019;x265;mv_subjective;crowd_run_short;4000;4923;5.861929362301
2019;xin265;mv_subjective;crowd_run_short;1000;1280;1.5831792847236361
2019;xin265;mv_subjective;crowd_run_short;2000;2558;3.897555993448728
2019;xin265;mv_subjective;crowd_run_short;4000;5113;6.4112952192616355
2019;xvc;mv_subjective;crowd_run_short;1000;1276;2.2991165752845024
2019;xvc;mv_subjective;crowd_run_short;2000;2520;4.505103126783605
2019;xvc;mv_subjective;crowd_run_short;4000;4788;6.117009947899721
2019;bytedance;mv_subjective;kayak_trip_short;1000;2005;3.1617789852696356
2019;bytedance;mv_subjective;kayak_trip_short;2000;3717;3.9865673848186454
2019;bytedance;mv_subjective;kayak_trip_short;4000;7416;5.076980254178576
2019;huawei;mv_subjective;kayak_trip_short;1000;1849;3.669315635374498
2019;huawei;mv_subjective;kayak_trip_short;2000;3752;4.51402551119349
2019;huawei_20190725;mv_subjective;kayak_trip_short;1000;1848;3.0504350312728987
2019;huawei_20190725;mv_subjective;kayak_trip_short;2000;3752;4.625891107012622
2019;huawei_20190725;mv_subjective;kayak_trip_short;4000;6313;5.115150965076953
2019;huawei;mv_subjective;kayak_trip_short;4000;7612;4.963011766296493
2019;mainconcept;mv_subjective;kayak_trip_short;1000;1921;2.7538121480143514
2019;mainconcept;mv_subjective;kayak_trip_short;2000;3857;3.9341345495502824
2019;mainconcept;mv_subjective;kayak_trip_short;4000;7548;4.875751136982231
2019;sif;mv_subjective;kayak_trip_short;1000;1873;1.0013152386950375
2019;sif;mv_subjective;kayak_trip_short;2000;3821;1.6348210646709975
2019;sif;mv_subjective;kayak_trip_short;4000;7784;2.620835773886468
2019;sz265;mv_subjective;kayak_trip_short;1000;2339;3.651734327405878
2019;sz265;mv_subjective;kayak_trip_short;2000;4639;4.7485749357252125
2019;sz265;mv_subjective;kayak_trip_short;4000;9092;5.211196567115111
