Reference,Distorted,Metric,Metric_val,Mask,Subjective
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,vmaf,49.163,True,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,vmaf,58.638,True,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,vmaf,65.641,True,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,vmaf,76.147,True,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,vmaf,84.365,True,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,vmaf,90.563,True,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,vmaf,99.229,True,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,vmaf,99.829,True,95
Tennis_24fps.yuv,Tennis_20_288_375.yuv,ssim,0.9122,True,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,ssim,0.9383,True,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,ssim,0.9479,True,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,ssim,0.9592,True,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,ssim,0.9659,True,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,ssim,0.9661,True,90
Tennis_24fps.yuv,Tennis_20_288_375.yuv,psnr,39.809,True,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,psnr,41.951,True,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,psnr,42.914,True,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,psnr,44.19,True,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,psnr,45.206,True,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,psnr,45.326,True,90
Tennis_24fps.yuv,Tennis_20_288_375.yuv,vmaf,46.524,True,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,vmaf,65.646,True,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,vmaf,75.396,True,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,vmaf,82.95,True,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,vmaf,91.654,True,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,vmaf,96.785,True,90
