Reference,Distorted,Metric,Metric_val,Mask,Subjective
Seeking_25fps.yuv,Seeking_10_288_375.yuv,vmaf,14.197,False,10
Seeking_25fps.yuv,Seeking_30_480_1050.yuv,vmaf,37.862,False,30
Seeking_25fps.yuv,Seeking_45_480_1750.yuv,vmaf,49.395,False,45
Seeking_25fps.yuv,Seeking_50_720_2350.yuv,vmaf,59.317,False,50
Seeking_25fps.yuv,Seeking_60_720_3050.yuv,vmaf,66.361,False,60
Seeking_25fps.yuv,Seeking_65_1080_4300.yuv,vmaf,76.991,False,65
Seeking_25fps.yuv,Seeking_75_1080_5800.yuv,vmaf,85.118,False,75
Seeking_25fps.yuv,Seeking_85_1080_7500.yuv,vmaf,91.167,False,85
Seeking_25fps.yuv,Seeking_90_1080_15000.yuv,vmaf,99.274,False,90
Seeking_25fps.yuv,Seeking_95_1080_20000.yuv,vmaf,99.831,False,95
Tennis_24fps.yuv,Tennis_20_288_375.yuv,ssim,0.9194,False,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,ssim,0.9414,False,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,ssim,0.9498,False,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,ssim,0.9596,False,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,ssim,0.9656,False,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,ssim,0.9654,False,90
Tennis_24fps.yuv,Tennis_20_288_375.yuv,psnr,36.203,False,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,psnr,38.358,False,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,psnr,39.473,False,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,psnr,40.723,False,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,psnr,42.323,False,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,psnr,42.553,False,90
Tennis_24fps.yuv,Tennis_20_288_375.yuv,vmaf,52.114,False,20
Tennis_24fps.yuv,Tennis_40_384_750.yuv,vmaf,69.521,False,40
Tennis_24fps.yuv,Tennis_60_480_1050.yuv,vmaf,78.42,False,60
Tennis_24fps.yuv,Tennis_70_480_1750.yuv,vmaf,84.814,False,70
Tennis_24fps.yuv,Tennis_80_720_3050.yuv,vmaf,92.684,False,80
Tennis_24fps.yuv,Tennis_90_1080_4300.yuv,vmaf,97.201,False,90
