,index,Reference,Distorted,Metric,Metric_val,Mask
135,170,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_34.mp4,niqe,6.2136,True
136,171,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_36.mp4,niqe,6.2673,True
137,148,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_36.mp4,niqe,5.0723,False
138,192,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_29.mp4,niqe,6.211,False
139,215,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_29.mp4,niqe,7.6818,True
140,193,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_34.mp4,niqe,6.7691,False
141,216,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_34.mp4,niqe,8.2917,True
142,194,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_40.mp4,niqe,7.8925,False
143,217,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_40.mp4,niqe,9.3511,True
144,262,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_26.mp4,niqe,11.351,True
145,238,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_26.mp4,niqe,7.8421,False
146,263,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_30.mp4,niqe,11.39,True
147,239,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_30.mp4,niqe,8.021,False
148,264,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_35.mp4,niqe,11.527,True
149,240,light_show_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_light_show_35.mp4,niqe,8.3453,False
150,310,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_29.mp4,niqe,8.708,True
151,286,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_29.mp4,niqe,7.6952,False
152,311,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_31.mp4,niqe,8.8226,True
153,287,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_31.mp4,niqe,7.7829,False
154,312,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_34.mp4,niqe,9.1251,True
155,288,mountain_dog_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_mountain_dog_34.mp4,niqe,8.0009,False
156,334,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_33.mp4,niqe,8.1668,False
157,356,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_33.mp4,niqe,8.9009,True
158,357,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_37.mp4,niqe,8.8551,True
159,335,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_37.mp4,niqe,8.0745,False
160,358,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_40.mp4,niqe,8.9828,True
161,336,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_pool_underwater_40.mp4,niqe,8.1073,False
162,402,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_30.mp4,niqe,12.921,True
163,378,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_30.mp4,niqe,12.657,False
164,379,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_33.mp4,niqe,11.715,False
165,403,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_33.mp4,niqe,13.001,True
166,404,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_37.mp4,niqe,12.995,True
167,380,pumba_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_pumba_37.mp4,niqe,10.714,False
168,6,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_26.mp4,niqe,5.3893,False
169,30,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_26.mp4,niqe,6.5596,True
170,31,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_30.mp4,niqe,6.5851,True
171,7,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_30.mp4,niqe,5.4042,False
172,32,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_35.mp4,niqe,6.6364,True
173,8,tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_35.mp4,niqe,5.4514,False
174,76,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_33.mp4,niqe,5.6505,True
175,54,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_33.mp4,niqe,4.5389,False
176,55,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_37.mp4,niqe,5.0151,False
177,77,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_37.mp4,niqe,6.213,True
178,56,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_41.mp4,niqe,5.87,False
179,78,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_41.mp4,niqe,7.1561,True
180,453,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,10.999,True
181,429,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,9.0028,False
182,430,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,9.4328,False
183,454,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,11.266,True
184,431,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,9.7919,False
185,455,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,11.515,True
186,125,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,niqe,10.014,True
187,101,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,niqe,8.9757,False
188,126,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,niqe,10.14,True
189,102,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,niqe,8.7645,False
190,103,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,niqe,8.6643,False
191,127,boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,niqe,10.274,True
192,172,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,niqe,6.3751,True
193,149,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,niqe,5.5335,False
194,150,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,niqe,5.5768,False
195,173,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,niqe,6.6156,True
196,151,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,niqe,5.6362,False
197,174,game_streamer_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,niqe,6.9407,True
198,218,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_52.mp4,niqe,8.2184,True
199,195,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_52.mp4,niqe,6.8559,False
200,196,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_60.mp4,niqe,7.2452,False
201,219,happy_dog_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_happy_dog_60.mp4,niqe,8.6688,True
